path,classification,lines,words,sha256,identical_content_files,proposed_action,proposed_target,retention_or_review_note
AGENTS.md,primary,139,1307,2386d1a4822832c82e20d79916a8243ff5bbea77f9eaf80d5196666da0a28032,1,Replace with minimal workspace rules,AGENTS.md,"Keep workspace exclusion, repository/directory boundaries, concurrent-session care and concise human instruction preference. Remove catalogs and forced question/insight/team behavior."
Apps-wt-meerkat-plan59-s4/.claude/rules/design-system.md,worktree,30,206,01e528bda1abd9bfe1b86d9c280a7febc50e6dee08c8644c478dfd053b13bd7b,6,Reconcile through owning branch; no bulk rewrite,MyLife/.claude/rules/design-system.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/.claude/rules/mesh-sync.md,worktree,21,309,c40aa16c1783ab6e3663ae4ff984690e459d2865bbc4ce4f88bee6e93b7357fd,6,Reconcile through owning branch; no bulk rewrite,MyLife/.claude/rules/mesh-sync.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/.claude/rules/module-system.md,worktree,41,329,33431d6297462d9de4370e05f8c4bd1f8f3aed3e4d8ce4628017f450ec694ba3,6,Reconcile through owning branch; no bulk rewrite,MyLife/.claude/rules/module-system.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/.claude/skills/gstack/AGENTS.md,worktree,49,411,a51aede57220121046392c57a603814ba3201884d321def6f8e693b0b9aa9028,7,Reconcile through owning branch; no bulk rewrite,MyLife/.claude/skills/gstack/AGENTS.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/.claude/skills/gstack/CLAUDE.md,worktree,617,4782,cbaea66cae584258db8e37e2c09ac82a2a0de31b9543ce1e57ab74fb13dfe0f9,7,Reconcile through owning branch; no bulk rewrite,MyLife/.claude/skills/gstack/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/.claude/skills/gstack/model-overlays/claude.md,worktree,10,89,b975643f22bdcdba0bf2c383a4f57cf37582c90cf13b5ee0d4b83f0a5c35dff3,7,Reconcile through owning branch; no bulk rewrite,MyLife/.claude/skills/gstack/model-overlays/claude.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/AGENTS.md,worktree,178,1923,fd235653e6919711cd3936c6bbfa6104af90900b2b5f18a8ab301afb19f16d8c,5,Reconcile through owning branch; no bulk rewrite,MyLife/AGENTS.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/CLAUDE.md,worktree,50,605,163d61a3b483303494b960529852cd4ff38bfdc79fcb72ce6f974234bcb83693,5,Reconcile through owning branch; no bulk rewrite,MyLife/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/bestchef-console/CLAUDE.md,worktree,82,584,b82421488e66e77ee0ebdb0cd1cd8dd47a77a6fcee97243aac4f27c0b3d4be3a,6,Reconcile through owning branch; no bulk rewrite,MyLife/apps/bestchef-console/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/bestchef/CLAUDE.md,worktree,152,1331,e31967228ce4694a860afad056116314456b303ccbd5c6055a1697d2b8309ed0,6,Reconcile through owning branch; no bulk rewrite,MyLife/apps/bestchef/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/dowork/CLAUDE.md,worktree,184,1574,55b620ed1db1b72ad00ccc3fe798daddc93c80b25839e4d9e92f6d09e6313676,6,Reconcile through owning branch; no bulk rewrite,MyLife/apps/dowork/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/manhattan/CLAUDE.md,worktree,68,538,793f043f6cd6bb46fbe459c4b1abc92918a5513b858017b4118c8b09d17d8bcb,6,Reconcile through owning branch; no bulk rewrite,MyLife/apps/manhattan/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/meerkat/AGENTS.md,worktree,121,2579,75a415724e8b4fe846c9d11fbe2b4f53654f6b6421e5338508c7edc2d28887d7,3,Reconcile through owning branch; no bulk rewrite,MyLife/apps/meerkat/AGENTS.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/meerkat/CLAUDE.md,worktree,1,1,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,8,Reconcile through owning branch; no bulk rewrite,MyLife/apps/meerkat/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/mynews-console/CLAUDE.md,worktree,98,1066,deeb0522f18039f501ffc35969a286a3c4110fb287829e96ed759bdfd137814c,6,Reconcile through owning branch; no bulk rewrite,MyLife/apps/mynews-console/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/mynews-web/CLAUDE.md,worktree,126,2759,f947d60ca8a9cf708a41daa7f897e9b46c7ceec89c94497dccb2f527e960a6e6,6,Reconcile through owning branch; no bulk rewrite,MyLife/apps/mynews-web/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
Apps-wt-meerkat-plan59-s4/apps/mynews/CLAUDE.md,worktree,59,1735,15fd8ad48aad9d41056486704553d7972cd079c0eeb027cdc9d397de93df63a2,6,Reconcile through owning branch; no bulk rewrite,MyLife/apps/mynews/CLAUDE.md,Preserve branch-specific changes. Older MyLife rules include scope/architecture/readiness drift; one Meerkat branch adds glossary and orphan-process requirements.
